,dipole_smiles
0,COC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
1,C[c-]1[nH+]noc1=O
2,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
3,C[N+]([O-])=C(c1ccccc1)c1ccccc1
4,CC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
5,COC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
6,COC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
7,CNC(=O)C(c1ccccc1)=[N+](C)[O-]
8,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)OC
9,CC(=O)[C-](C(C)=O)[N+](C)=C(C)C
10,CNC(=O)[N-][NH+]=N
11,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(=O)OC)c1ccccc1
12,CN=[N+](C)[O-]
13,COC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
14,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)c1ccccc1
15,CNC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
16,C[N-][NH+]=NC(=O)NC
17,COC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
18,CN=[NH+][N-]C(=O)NC
19,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)C(=O)NC
20,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)NC)C(=O)NC
21,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C(C)=O
22,CC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
23,CC(=O)C(=[NH+][C-](c1ccccc1)c1ccccc1)C(C)=O
24,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)C(C)=O
25,CN=[NH+][N-]C(=O)OC
26,CNC(=O)[C-]([N+]#N)C(C)=O
27,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C(C)=O)C(C)=O
28,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
29,COC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
30,COC(=O)[C-](C(=O)OC)[N+](C)=C(c1ccccc1)c1ccccc1
31,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)C
32,CC(=O)C(C#N)=[N+](C)[C-](C)C
33,COC(=O)c1[nH+][n-]c(=O)o1
34,CN=[N+](C)[N-]C(=O)NC
35,CC(=O)c1oc(=O)[n-][n+]1C
36,COC(=O)[c-]1[nH+]noc1=O
37,COC(=O)[C-](C(C)=O)[N+](C)=C(C)C
38,C[N-][N+](C)=NC(C)=O
39,CNC(=O)N=[NH+][N-]C(=O)NC
40,COC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
41,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
42,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(=O)OC
43,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C)c1ccccc1
44,CNC(=O)[C-]([N+]#N)C(=O)NC
45,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(=O)OC
46,CNC(=O)[N-][NH+]=NC(=O)OC
47,CC(=O)[c-]1c(=O)oc(C)[n+]1C
48,COC(=O)N=[NH+][O-]
49,CC(=O)[N-][N+](C)=N
50,CNC(=O)[N-][NH+]=NC(C)=O
51,CC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
52,CNC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
53,COC(=O)[N-][NH+]=Nc1ccccc1
54,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)OC)c1ccccc1
55,CC(=O)C(C(C)=O)=[N+](C)[C-](C)C
56,C[N+](=C(c1ccccc1)c1ccccc1)[C-](c1ccccc1)c1ccccc1
57,COC(=O)[C-]([N+]#N)C(=O)OC
58,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
59,CNC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
60,COC(=O)N=[N+](C)[O-]
61,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C)c1ccccc1
62,COC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
63,CNC(=O)C(C)=[N+](C)[C-](C(=O)OC)C(=O)OC
64,CNC(=O)[C-](C(=O)NC)[N+](C)=C(c1ccccc1)c1ccccc1
65,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)C
66,COC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)OC
67,O=c1on[nH+][c-]1-c1ccccc1
68,COC(=O)[C-](C(=O)OC)[N+](C)=C(C)c1ccccc1
69,CNC(=O)C(C(=O)NC)=[N+](C)[C-](c1ccccc1)c1ccccc1
70,CNC(=O)N=[NH+][O-]
71,CNC(=O)[C-](C#N)[N+](C)=C(C)c1ccccc1
72,COC(=O)[N-][N+](C)=N
73,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
74,CNC(=O)C(C(=O)OC)=[N+](C)[C-](c1ccccc1)c1ccccc1
75,CC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(C)=O
76,CC(=O)[C-](c1ccccc1)[N+](C)=C(c1ccccc1)c1ccccc1
77,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(=O)NC)c1ccccc1
78,CN=[NH+][N-]C(C)=O
79,C[N+](=C(c1ccccc1)c1ccccc1)[C-](C#N)C#N
80,COC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)c1ccccc1
81,COC(=O)[c-]1[nH+]c(-c2ccccc2)oc1=O
82,CC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
83,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(=O)OC)C(=O)OC
84,CNC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
85,C[c-]1c(=O)on[n+]1C
86,CC(=O)[C-](C#N)[N+](C)=C(c1ccccc1)c1ccccc1
87,CC(=O)[N-][NH+]=Nc1ccccc1
88,[O-][NH+]=C(c1ccccc1)c1ccccc1
89,CNC(=O)[C-](C(=O)OC)[N+](C)=C(C(C)=O)c1ccccc1
90,Cc1oc(=O)[c-](C#N)[n+]1C
91,CC(=O)N=[NH+][O-]
92,C[N+]([O-])=Nc1ccccc1
93,COC(=O)[c-]1c(=O)on[n+]1C
94,COC(=O)C(C(=O)OC)=[N+](C)[C-](C)c1ccccc1
95,C[n+]1c(-c2ccccc2)oc(=O)[c-]1C#N
96,CC(=O)c1[nH+][n-]c(=O)o1
97,CNC(=O)[N-][NH+]=Nc1ccccc1
98,COC(=O)C(C(C)=O)=[N+](C)[C-](C)C
99,CNC(=O)[N-][N+](C)=N
100,COC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
101,CC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)C(C)=O
102,CNC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
103,CNC(=O)N=[NH+][N-]C(=O)OC
104,CNC(=O)[C-]([N+]#N)C(=O)OC
105,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)NC)C(=O)OC
106,CN=[NH+][O-]
107,COC(=O)c1oc(=O)[n-][n+]1C
108,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)c1ccccc1
109,Cc1oc(=O)[n-][n+]1C
110,CNC(=O)c1[nH+][n-]c(=O)o1
111,CNC(=O)[c-]1c(=O)on[n+]1C
112,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)C(=O)NC
113,CC(=O)[c-]1[nH+]noc1=O
114,CC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
115,CC(=O)C(c1ccccc1)=[N+](C)[C-](c1ccccc1)c1ccccc1
116,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
117,C[n+]1noc(=O)[c-]1-c1ccccc1
118,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)NC)c1ccccc1
119,CNC(=O)[c-]1[nH+]noc1=O
120,CNC(=O)[C-](c1ccccc1)[N+](C)=C(C#N)C(C)=O
121,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(C)=O)c1ccccc1
122,CNC(=O)[C-](C(=O)NC)[N+](C)=C(C)c1ccccc1
123,C[N-][N+]#N
124,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C
125,CNC(=O)c1oc(=O)[n-][n+]1C
126,CN=[N+](C)[N-]C(C)=O
127,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)NC
128,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C#N)C(C)=O
129,CC(=O)C(C#N)=[N+](C)[C-](c1ccccc1)c1ccccc1
130,CNC(=O)[C-](C(=O)OC)[N+](C)=C(c1ccccc1)c1ccccc1
131,O=c1[n-][nH+]c(-c2ccccc2)o1
132,CC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
133,CNC(=O)N=[N+](C)[NH-]
134,CNC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
135,CNC(=O)[N-][N+](C)=Nc1ccccc1
136,C[N+](=C(C#N)C#N)[C-](c1ccccc1)c1ccccc1
137,CC(=O)[c-]1c(=O)oc(-c2ccccc2)[n+]1C
138,CC(=O)C(C#N)=[N+](C)[C-](C)c1ccccc1
139,CC(=O)N=[N+](C)[NH-]
140,C[N+](=C(c1ccccc1)c1ccccc1)[C-](C#N)c1ccccc1
141,CC(=O)C(C#N)=[NH+][C-](c1ccccc1)c1ccccc1
142,CC(=O)[c-]1c(=O)on[n+]1C
143,COC(=O)C(C(=O)OC)=[N+](C)[C-](C)C
144,CC(=O)[C-]([NH+]=C(c1ccccc1)c1ccccc1)c1ccccc1
145,CNC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
146,CC(=O)[C-](C(C)=O)[N+](C)=C(C)c1ccccc1
147,COC(=O)[C-](C#N)[N+](C)=C(C)C
148,COC(=O)C(C)=[N+](C)[C-](C(C)=O)C(C)=O
149,CC(=O)[c-]1[nH+]c(C)oc1=O
150,COC(=O)[C-](c1ccccc1)[N+](C)=C(C(C)=O)C(C)=O
151,CNC(=O)N=[N+](C)[O-]
152,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(=O)OC)C(=O)OC
153,COC(=O)C(C(C)=O)=[N+](C)[C-](c1ccccc1)c1ccccc1
154,COC(=O)C(C(=O)OC)=[N+](C)[C-](c1ccccc1)c1ccccc1
155,COC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
156,CC(=O)C(C(C)=O)=[N+](C)[C-](C(C)=O)c1ccccc1
157,C[n+]1[n-]c(=O)oc1-c1ccccc1
158,COC(=O)[c-]1c(=O)oc(-c2ccccc2)[n+]1C
159,CNC(=O)C(c1ccccc1)=[N+](C)[C-](C(C)=O)C(=O)OC
160,COC(=O)N=[N+](C)[NH-]
161,CNC(=O)[C-](C)[N+](C)=C(C(=O)OC)C(=O)OC
162,CNC(=O)[N-][N+]#N
163,CNC(=O)[C-](C(C)=O)[N+](C)=C(C(C)=O)C(C)=O
164,CC(=O)C(C(C)=O)=[N+](C)[C-](C)c1ccccc1
165,CC(=O)[C-](C#N)[N+](C)=C(C)C
166,N#C[c-]1[nH+]c(-c2ccccc2)oc1=O
167,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C(=O)OC)c1ccccc1
168,COC(=O)C(C(C)=O)=[N+](C)[C-](C(=O)OC)c1ccccc1
169,CC(=O)N=[N+](C)[O-]
170,COC(=O)[C-](C(C)=O)[N+](C)=C(c1ccccc1)c1ccccc1
171,CNC(=O)C(C(=O)NC)=[N+](C)[C-](C(C)=O)C(C)=O
172,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)c1ccccc1
173,CNC(=O)C(C)=[N+](C)[C-](C(=O)NC)C(=O)OC
174,CNC(=O)C(C(C)=O)=[N+](C)[C-](C)C(=O)OC
175,COC(=O)[c-]1c(=O)oc(C)[n+]1C
176,CC(=O)C(c1ccccc1)=[N+](C)[C-](C)c1ccccc1
177,COC(=O)[C-](C)[N+](C)=C(C(C)=O)C(C)=O
178,CNC(=O)[C-](C)[N+](C)=C(C(C)=O)C(=O)OC
179,CNC(=O)C(C(=O)OC)=[N+](C)[C-](C)C
180,COC(=O)C(C#N)=[N+](C)[C-](C)C
181,CNC(=O)C(C)=[N+](C)[C-](C(C)=O)C(=O)NC
